Title,Company,Salary,Location,Job Requirements,Date Posted,Industry,Field,Experience,Education,Age,Vacancy,Work Time,Level,Skills,Language,Nationality,Gender,Marital Status,Work Date,Work Type,Keyword
Senior Business Analyst (IT BA),Công Ty TNHH Cung Cấp Giải Pháp Dịch Vụ Giá Trị Gia Tăng (Vivas),Thương lượng,"Tòa nhà Cục Tần Số, 115 Trần Duy Hưng, Trung Hòa, Cầu Giấy, Hà Nội, Vietnam, Tòa nhà Cục Tần Số, 115 Trần Duy Hưng, Trung Hòa, Cầu Giấy, Hà Nội","- Trình độ ngoại ngữ: Tiếng Anh
• Có khả năng đọc, viết
• Ưu tiên ứng viên nghe nói thành thạo
- Trình độ tin học:
• Sử dụng thành thạo công cụ tin học văn phòng.
- Kiến thức:
• Có khả năng sử dụng linh hoạt các kỹ thuật trong phân tích nghiệp vụ phần mềm như các kỹ thuật thu thập yêu cầu, phân rã chức năng, mô hình hóa, viết các loại yêu cầu BRD, URD, PRD, SRS…
• Sử dụng thành thạo các công cụ hỗ trợ xây dựng sơ đồ luồng, thiết kế wireframe/prototype.
• Có hiểu biết về các quy trình phát triển phần mềm Agile/Waterfall.
- Kỹ năng:
• Có khả năng làm việc độc lập, chịu được áp lực cao;
• Có kỹ năng thuyết trình.
• Có kỹ năng giải quyết vấn đề, kỹ năng làm việc nhóm.
- Ưu tiên:
• Ứng viên sử dụng thành thạo tiếng Anh, từng làm việc với đối tác nước ngoài
• Ứng viên có kinh nghiệm làm BA các dự án liên quan đến viễn thông
- Tốt nghiệp Đại học các ngành CNTT/Viễn thông, Khoa học máy tính, Toán tin, Kinh tế, Ngân hàng và các ngành khác có liên quan.
- Có kinh nghiệm tham gia phát triển dự án phần mềm với vai trò BA từ 2 năm kinh nghiệm
- Ưu tiên ứng viên có kinh nghiệm trong lĩnh vực viễn thông hoặc đã tham gia các dự án hợp tác với nhà mạng",14/05/2025,Công Nghệ Thông Tin/Viễn Thông > Phân Tích Kinh Doanh/Phân Tích Hệ Thống,Phần Mềm CNTT/Dịch vụ Phần mềm,2,Cử nhân,Không hiển thị,Không hiển thị,,Nhân viên,"Viễn Thông, Khoa Học Máy Tính, Nội Dung Số, Quản Lý Tiến Độ Dự Án, Phân Tích Lỗi",Bất kỳ,Không hiển thị,Không hiển thị,Không hiển thị,,Toàn thời gian,"Công Nghệ Thông Tin/Viễn Thông, Phân Tích Kinh Doanh/Phân Tích Hệ Thống, Phần Mềm CNTT/Dịch vụ Phần mềm, Viễn Thông, Khoa Học Máy Tính, Nội Dung Số, Quản Lý Tiến Độ Dự Án, Phân Tích Lỗi, Công Ty TNHH Cung Cấp Giải Pháp Dịch Vụ Giá Trị Gia Tăng (Vivas), Hà Nội"
Sales Manager - Paper & Board,Page Group Vietnam,Thương lượng,"Ho Chi Minh, Ho Chi Minh","At least 4 years of experience in international trade.

Proven expertise in paper industry products (especially for offset and flexo printing would be a plus).

Strong commercial mindset and results-oriented attitude.

Willingness to travel frequently (minimum 35%).

Fluent in both English and Vietnamese.

Passionate about cross-cultural business environments.",14/05/2025,N/A,Cung cấp nhân lực,1,Không giới hạn,Không hiển thị,Không hiển thị,09:00 - 18:00,Nhân viên,Sales,Tiếng Anh,Không hiển thị,Không hiển thị,Không hiển thị,T2 - T6,Toàn thời gian,"Cung cấp nhân lực, Sales, Page Group Vietnam, Hồ Chí Minh"
Senior Business Development Executive,CÔNG TY TNHH I-DAC VIỆT NAM,"$ 500-1,000 /tháng","The 2nd F, HongKong Tower, 243A De La Thanh, Dong Da, Hanoi, Phòng 1.4 và 1.5, Tầng 1, Tòa nhà e.town Central, Số 11 Đoàn Văn Bơ, phường 13, quận 4, TP.HCM // Phòng 02, Tầng 02, Tòa nhà Horison Tower, Số 40 Phố Cát Linh, Phường Cát Linh, quận Đống Đa, Hà Nội","• Minimum 02 of experience on clients sales in advertising/ medium company or digital marketing (Google AdWords, Facebook Advertising, Display Advertising, etc) for SENIOR.
• Required skills: Time Management, Presentation Skills, Client Relationships, Negotiation, Motivation for Sales.
• Prospecting Skills: Meeting Sales Goals, Sales Planning, Independence, Planning digital marketing proposal skill.
• Bachelor or equivalent, international education encouraged
• Dynamic, ambitious, detail & result oriented, can do attitude.
• Basic communication skills in English.
• Computer skills: Microsoft Word, Excel, and Power Point.",14/05/2025,Kinh Doanh > Bán Hàng/Phát Triển Kinh Doanh,Truyền thông/Báo chí/Quảng cáo,2,Cử nhân,Không hiển thị,1,09:00 - 18:00,Nhân viên,"Business Development, Client Relationships, Digital Marketing, English, Sales Planning",Tiếng Anh,Người Việt Nam,Bất kỳ,Bất kỳ,T2 - T6,Toàn thời gian,"Kinh Doanh, Bán Hàng/Phát Triển Kinh Doanh, Truyền thông/Báo chí/Quảng cáo, Business Development, Client Relationships, Digital Marketing, English, Sales Planning, CÔNG TY TNHH I-DAC VIỆT NAM, Hà Nội"
Trưởng Phòng Thu Mua,Công Ty Cổ Phần Thương Mại Dịch Vụ Sản Xuất Thái Bình Dương,23tr-25tr ₫/tháng,"331/7/20 Phan Huy Ích, P.14, Q. Gò Vấp, Tp.HCM, 331/7/20 Đường Phan Huy Ích, phường 14, Gò Vấp, Hồ Chí Minh, Việt Nam","• Giới tính: Nam/ nữ độ tuổi: trên 28 tuổi.
• Trình độ học vấn: từ Cao đẳng trở lên các ngành Kinh tế, Thương mại, Quan hệ quốc tế, Xuất nhập khẩu…..
• Anh Văn (Thành thạo Nghe – Nói – Đọc – Viết)
• Thành thạo MS office.
• Có tối thiểu 1 năm kinh nghiệm tại vị trí tương đương.
• Kỹ năng giao tiếp, đàm phán, thương lượng tốt, quản trị thời gian.
• Trung thực, Nhiệt tình, Nhanh nhẹn, quyết đoán.
• Ưu tiên: đã thu mua hàng hóa thuộc lĩnh vực chăn nuôi, thú y.",14/05/2025,Hậu Cần/Xuất Nhập Khẩu/Kho Bãi > Thu Mua & Quản Trị Hàng Tồn Kho,Nông nghiệp/Lâm nghiệp/Nuôi trồng thủy sản,1,Cao đẳng,Không hiển thị,Không hiển thị,,Trưởng phòng,"Lập Kế Hoạch Mua Hàng, Quản Lý Nhà Cung Cấp, Quản Lý Thu Mua, Thương Mại Quốc Tế, Tìm Kiếm Nhà Cung Cấp",Tiếng Việt,Không hiển thị,Không hiển thị,Không hiển thị,,Toàn thời gian,"Hậu Cần/Xuất Nhập Khẩu/Kho Bãi, Thu Mua & Quản Trị Hàng Tồn Kho, Nông nghiệp/Lâm nghiệp/Nuôi trồng thủy sản, Lập Kế Hoạch Mua Hàng, Quản Lý Nhà Cung Cấp, Quản Lý Thu Mua, Thương Mại Quốc Tế, Tìm Kiếm Nhà Cung Cấp, Công Ty Cổ Phần Thương Mại Dịch Vụ Sản Xuất Thái Bình Dương, Hồ Chí Minh"
Nhân Viên Phát Triển Kinh Doanh,Công Ty TNHH Cung Cấp Giải Pháp Dịch Vụ Giá Trị Gia Tăng (Vivas),Thương lượng,"115 Trần Duy Hưng, Trung Hòa Cầu Giấy, HN, Lầu 4, Pjico Tower, 186 Điện Biên Phủ, P.Võ Thị Sáu, Q.3, TP.Hồ Chí Minh, Tòa nhà Cục Tần Số, 115 Trần Duy Hưng, Trung Hòa, Cầu Giấy, Hà Nội","I. Trình độ học vấn
- Tốt nghiệp Đại học/Cao đẳng các chuyên ngành: Kinh tế, Quản trị kinh doanh, Thương mại, Marketing, CNTT hoặc các ngành liên quan.
II. Yêu cầu kinh nghiệm
- Có tối thiểu 01 năm kinh nghiệm làm việc trong lĩnh vực kinh doanh B2B
Ưu tiên:
- Đã từng đảm nhiệm vị trí Business Development/Sale các giải pháp CNTT (CRM,ERP,BPM,POS,Marketing Automation,..) hoặc giải pháp ứng dụng khác trong lĩnh vực chuyển đổi số.
- Có mối quan hệ doanh nghiệp B2B, tham gia các cộng đồng Giải pháp công nghệ/Chuyển đổi số/ Sales & Marketing.
III. Yêu cầu kỹ năng
- Khả năng chịu áp lực về doanh số, am hiểu thị trường và nhu cầu khách hàng
- Khả năng giao tiếp, làm proposal và thuyết trình tốt.
- Khả năng thuyết phục và đàm phán để tạo ra các cơ hội kinh doanh mới.
- Khả năng lên kế hoạch và tổ chức công việc hiệu quả.
- Tinh thần làm việc độc lập và khả năng làm việc nhóm tốt.
- Khả năng quyết đoán cao, xử lý tốt các tình huống liên quan đến khách hàng
- Khả năng giao tiếp Tiếng Anh tốt, đọc hiểu các tài liệu bằng tiếng Anh
- Tinh thần trách nhiệm cao, chủ động trong công việc
- Năng động, sáng tạo, yêu thích tìm tòi, nhạy bén trong việc cập nhật thông tin thị trường, có kiến thức CNTT là một ưu thế

IV. Mức lương: Up to 12tr/tháng (net) + Bonus + Commission",14/05/2025,Kinh Doanh > Bán Hàng/Phát Triển Kinh Doanh,Phần Mềm CNTT/Dịch vụ Phần mềm,1,Cao đẳng,Không hiển thị,Không hiển thị,,Nhân viên,"Phát Triển Sản Phẩm, Chiến Lược Kinh Doanh, B2B Sales, Tìm Kiếm Khách Hàng, Chuyển Đổi Số",Bất kỳ,Không hiển thị,Không hiển thị,Không hiển thị,,Toàn thời gian,"Kinh Doanh, Bán Hàng/Phát Triển Kinh Doanh, Phần Mềm CNTT/Dịch vụ Phần mềm, Phát Triển Sản Phẩm, Chiến Lược Kinh Doanh, B2B Sales, Tìm Kiếm Khách Hàng, Chuyển Đổi Số, Công Ty TNHH Cung Cấp Giải Pháp Dịch Vụ Giá Trị Gia Tăng (Vivas), Hà Nội, Hồ Chí Minh"
Ecocycle Solution Consultant - Technical Sales B2B - HCM (For Fresh Graduate Student),Insee Viet Nam,Thương lượng,"Ho Chi Minh, Ho Chi Minh City, Vietnam, Lầu 12 &14, Toà Nhà E-Town Central 11 Đoàn Văn Bơ , Quận 4","- Fresh graduate or less than 1 year working experience (ability to perform full-time job in June 2025)
- All majors
- GPA: >= 6.5/10 or 2.6/4
- English: TOEIC 450 or equivalent (or pass our English test)
- Proactive, fast learner, result-driven, focus on individual and career development.
Working location:
- Head Office – 11 Doan Van Bo, Ward 13, District 4, HCMC",14/05/2025,Kinh Doanh > Bán Hàng/Phát Triển Kinh Doanh,Vật liệu xây dựng,Không yêu cầu,Cử nhân,Không hiển thị,Không hiển thị,,Mới Tốt Nghiệp,"sale, Technical Sales",Bất kỳ,Không hiển thị,Không hiển thị,Không hiển thị,,Toàn thời gian,"Kinh Doanh, Bán Hàng/Phát Triển Kinh Doanh, Vật liệu xây dựng, sale, Technical Sales, Insee Viet Nam, Hồ Chí Minh"
Nhân Viên Documentation (Chứng Từ),Công Ty TNHH Century Distribution Systems (Việt Nam),Thương lượng,"Tầng 18, Tòa nhà Capital Tower, 109 Trần Hưng Đạo, Hoàn Kiếm, Hà Nội","• Ưu tiên có 1 năm kinh nghiệm làm docs hàng xuất
• Chấp nhận đào tạo sinh viên mới ra trường (có bằng tốt nghiệp)
• Tiếng anh đọc viết tốt
• Tốt nghiệp ngành ngoại thương, xnk
• Ham học hỏi, có tinh thần cầu tiến

Quyền lợi ứng viên:
-Xét tăng lương 1-2 lần hàng năm
-Thưởng tháng 13, thưởng tùy ý hàng năm
-Thưởng lễ tết dương lịch, 30/4 & 1/5, 2/9, trung thu từ 1,000,000 - 3,000,000
-Du lịch hàng năm
-Quà sinh nhật, 8/3, 20/10
-Bảo hiểm sức khỏe Bảo Việt hạn mức 63tr/năm
-Thời gian làm việc: 8h-17h30 (T2-T6)",14/05/2025,Hậu Cần/Xuất Nhập Khẩu/Kho Bãi > Xuất Nhập Khẩu & Thủ Tục Hải Quan,Nhập khẩu/Xuất khẩu,1,Cao đẳng,Không hiển thị,1,08:00 - 17:30,Nhân viên,"Documentation, English Reading, Foreign Trade, Logistics, Documentation, Documentation",Tiếng Việt,Không hiển thị,Không hiển thị,Không hiển thị,T2 - T6,Toàn thời gian,"Hậu Cần/Xuất Nhập Khẩu/Kho Bãi, Xuất Nhập Khẩu & Thủ Tục Hải Quan, Nhập khẩu/Xuất khẩu, Documentation, English Reading, Foreign Trade, Logistics, Documentation, Documentation, Công Ty TNHH Century Distribution Systems (Việt Nam), Hà Nội"
Senior Sales Specialist,SCloud (Vietnam) Company Limited,"$ 30,000-60,000 /tháng","Floor 23, E.Town Central, 11 Doan Van Bo, Ward 13, Dist. 4, HCMC 700000, Floor 23, E.Town Central, 11 Doan Van Bo, Ward 13, Dist. 4, HCMC","• Bachelor/Master degree in Business Administration, Foreign Trade or Economics…
• 3 – 5 years of work experience or above in the field of Cloud Computing / Engineering.
• 2 or more years of experience at Internet Service Providers (ISP) in Vietnam
• Fluent in English and understand basic Mandarin
• Proven record of success with the entire sales process, from planning to closing
• Excellent communication, interpersonal, and organizational skills
• Good business acumen with analytical and problem-solving skills to handle challenging situations
• Ability to travel at least 20% of the time",14/05/2025,Kinh Doanh > Bán Hàng/Phát Triển Kinh Doanh,Phần Mềm CNTT/Dịch vụ Phần mềm,3,Cử nhân,15-60,1,9:00 - 18:00,Nhân viên,"Cloud Computing, Communication Skills, Customer Relation, Problem-solving, Sales Strategy",Bất kỳ,Không giới hạn,Bất kỳ,Bất kỳ,T2 - T6,Toàn thời gian,"Kinh Doanh, Bán Hàng/Phát Triển Kinh Doanh, Phần Mềm CNTT/Dịch vụ Phần mềm, Cloud Computing, Communication Skills, Customer Relation, Problem-solving, Sales Strategy, SCloud (Vietnam) Company Limited, Hồ Chí Minh"
ASM/ Trưởng Phòng Kinh Doanh Bán Buôn,Daloc Wines,Thương lượng,"17/12 Lê Thánh Tôn, phường Bến Nghé, quận 1, TP. HCM, 17/12 Đường Lê Thánh Tôn, Bến Nghé, Quận 1, Ho Chi Minh City, Vietnam","• Có từ 5 năm kinh nghiệm trở lên ở vị trí tương đương trong lĩnh vực kinh doanh rượu vang/đồ uống/thực phẩm/hàng tiêu dùng. Trong đó có ít nhất 3 năm ở vị trí Trưởng phòng
• Tốt nghiệp đại học, cao đằng chuyên ngành quản trị kinh doanh/marketing….
• Có kỹ năng máy tính, tin học, thành thạo Word, Excel, Powerpoint…
• Có tinh thần làm việc cao, nghiêm túc, tự chủ trong công việc
• Có kỹ năng giao tiếp tốt, am hiểu thị trường, nắm bắt cơ hội kinh doanh
• Kỹ năng đàm phán thuyết phục, kỹ năng phân tích và đánh giá hiệu quả
• Có kỹ năng quản lý, điều hành nhóm
• Chịu được áp lực công việc cao, sức khỏe tốt, sẵn sàng đi công tác xa",14/05/2025,Kinh Doanh > Bán Hàng/Phát Triển Kinh Doanh,Hàng tiêu dùng,5,Cử nhân,Không hiển thị,Không hiển thị,08:30 - 17:30,Trưởng phòng,"Quản Lý Nhóm, Kỹ năng giao tiêp, Kỹ năng đàm phán, Phân Tích Thị Trường, Tinh Thần Tập Thể",Bất kỳ,Không hiển thị,Không hiển thị,Không hiển thị,T2 - T7,Toàn thời gian,"Kinh Doanh, Bán Hàng/Phát Triển Kinh Doanh, Hàng tiêu dùng, Quản Lý Nhóm, Kỹ năng giao tiêp, Kỹ năng đàm phán, Phân Tích Thị Trường, Tinh Thần Tập Thể, Daloc Wines, Hồ Chí Minh"
Giám Đốc Vận Hành Vùng (Nguồn),Vinwonders,Thương lượng,"VinWonders Nha Trang Vinpearl Land, Nha Trang - Vinpearl Land, Vĩnh Nguyên, Nha Trang, Khánh Hòa, Việt Nam, Toà nhà Văn phòng Symphony, Phố Chu Huy Mân, Khu đô thị Vinhomes Riverside, Phúc Lợi, Long Biên, Hà Nội, Việt Nam, VinWonders Phú Quốc, Khu Bãi Dài, Gành Dầu, Phú Quốc, Kiên Giang, Việt Nam","- Tốt nghiệp Đại học trở lên các chuyên ngành Kinh tế, Quản trị Kinh doanh, Bất động sản, Tài chính, Kỹ thuật ... Ưu tiên các ứng viên đã học tập tại nước ngoài.
- Tối thiểu 8-10 năm kinh nghiệm làm việc tại các ngành nghề Kinh doanh, Quản lý Vận hành, Tài chính, Kỹ thuật ...
- Tối thiểu 5-7 năm kinh nghiệm ở các vị trí Quản lý với số lượng nhân viên từ 100 người trở lên.
- Ưu tiên các ứng viên trong ngành Hospitality, Bất động sản, FMCG ...
- Có khả năng giao tiếp & sử dụng tiếng Anh tốt
- Có khả năng sử dụng tin học văn phòng thành thạo, kỹ năng làm báo cáo tốt
- Có tư duy về số học, tư duy phản biện
- Có kỹ năng lập và kiểm soát ngân sách
- Có khả năng xây dựng quy trình, tiêu chuẩn Chất lượng dịch vụ
- Có khả năng đi công tác tại các dự án theo yêu cầu công việc",14/05/2025,Khác > Khác,Dịch vụ lưu trú/Nhà hàng/Khách sạn/Du lịch,Không yêu cầu,Không giới hạn,Không hiển thị,Không hiển thị,,Giám Đốc và Cấp Cao Hơn,Quản Lý Khu Vui Chơi,Tiếng Anh,Không hiển thị,Không hiển thị,Không hiển thị,,Toàn thời gian,"Khác, Khác, Dịch vụ lưu trú/Nhà hàng/Khách sạn/Du lịch, Quản Lý Khu Vui Chơi, Vinwonders, Khánh Hòa, Hà Nội, Kiên Giang"
CEO Startup (Upto 5000$),Tập Đoàn APEC (APEC GROUP),"$ 3,000-5,000 /tháng","Tầng 3, TTTM Grand Plaza, 117 Trần Duy Hưng, P. Trung Hòa, Q. Cầu Giấy, Hà Nội, Tầng 11, MB Sunny Tower, 259 Trần Hưng Đạo, Phường Cô Giang, Quận 1, Tầng 3, Grand Plaza, 117 Trần Duy Hưng, Trung Hòa, Cầu Giấy, Hà Nội.","NẾU BẠN:
- Cùng chung trăn trở với chúng tôi, mong muốn chinh phục toàn cầu
- Đam mê startup, luôn hừng hực tinh thần khởi nghiệp
- Đã từng startup thành công hoặc đang khởi nghiệp trong các lĩnh vực Bất động sản, Du lịch, Khách sạn, Công nghệ, AI, Fintech, Blockchain, Cryptocurrency thị trường trong và ngoài nước
- Đang đi tìm những thử thách, cơ hội mới hay những thương vụ partnership

ĐẶC QUYỀN chúng tôi đem đến cho bạn:
- Gói thu nhập bao gồm lương, thưởng cùng nhiều CHẾ ĐỘ ĐÃI NGỘ ĐẶC BIỆT khác tương xứng với năng lực và vị trí (3000 – 5000$)
- Trực tiếp tham gia đầu tư, góp vốn vào những startup tiềm năng với doanh thu hàng tỷ đô
- Luôn nhiệt huyết, sống trọn với đam mê khởi nghiệp
- Được chinh chiến nhiều lĩnh vực, nhiều mô hình kinh doanh ấn tượng và đầy thú vị
- Đồng hành cùng Đội ngũ Ban lãnh đạo Apec đưa Apec vươn ra thị trường Quốc tế

Hãy đến với chúng tôi và chúng ta sẽ cùng đưa doanh nghiệp Việt vươn tầm!",14/05/2025,CEO & General Management > Quản Lý Cấp Cao,Phần Mềm CNTT/Dịch vụ Phần mềm,5,Không giới hạn,28-40,1,08:30 - 18:30,Giám Đốc và Cấp Cao Hơn,"Entrepreneurial Mindset, Investment Strategies, Investment Strategies, Investment Valuation, Startup Management, Strategic Planning",Bất kỳ,Không giới hạn,Bất kỳ,Bất kỳ,T2 - T6,Toàn thời gian,"CEO & General Management, Quản Lý Cấp Cao, Phần Mềm CNTT/Dịch vụ Phần mềm, Entrepreneurial Mindset, Investment Strategies, Investment Strategies, Investment Valuation, Startup Management, Strategic Planning, Tập Đoàn APEC (APEC GROUP), Hà Nội, Hồ Chí Minh"
Sr. Performance Marketing Executive,CÔNG TY TNHH Befinancial,Thương lượng,"Quận 1, Thành phố Hồ Chí Minh, Viet Nam, Quận 1, TP Hồ Chí Minh","- Bachelor's/Master's degree in Marketing, Business Administration, or a related field.
- 3+ years of experience in E-commerce, Fintech, Technology, Banking, or Agency marketing.
- Proven track record in growth marketing for a high-growth B2B or B2C tech startup, preferably with knowledge of financial institutions.
- Strong passion for growth marketing and a desire to advance your career in this field.
- Deep understanding of digital tracking tools (e.g., Appsflyer, Adjust, Google Analytics) and experience using them for data collection, analysis, and interpretation.
- Ability to leverage data to inform strategic decisions and optimize marketing effectiveness.
- Excellent verbal and written communication skills, with the ability to collaborate effectively with diverse teams.",14/05/2025,"Tiếp Thị, Quảng Cáo/Truyền Thông > Tiếp Thị Trực Tuyến",Tài Chính,3,Cử nhân,Không hiển thị,Không hiển thị,,Nhân viên,"Performance Marketing, Affiliate Marketing, Digital Marketing & Advertisement, Budget Management, Digital Channels",Bất kỳ,Không hiển thị,Không hiển thị,Không hiển thị,,Toàn thời gian,"Tiếp Thị, Quảng Cáo/Truyền Thông, Tiếp Thị Trực Tuyến, Tài Chính, Performance Marketing, Affiliate Marketing, Digital Marketing & Advertisement, Budget Management, Digital Channels, CÔNG TY TNHH Befinancial, Hồ Chí Minh"
Kỹ Sư Thiết Kế Cừ ( Civil Engineer - Geotechnical Design Engineer) Lương Up to 35 Triệu,CÔNG TY TNHH Horizon Construction Development OVERSEAS (Việt Nam),"Tới 1,300 ₫/tháng","CIC Tower, 219 Trung Kính, Cầu Giấy, Hà Nội, Tầng 10, Tòa nhà EBM, 685 Điện Biên Phủ, Phường 25, Quận Bình Thạnh, TP.HCM","- Có chuyên môn liên quan đến lĩnh vực xây dựng dân dụng, đặc biệt là phần cơ học đất, nền móng;

- Có khả năng giao tiếp bằng tiếng Trung hoặc tiếng Anh

- Hiểu biết về quy trình thiết kế và các tiêu chuẩn của nền móng, hố đào sâu.

- Sử dụng thành thạo các phần mềm thiết kế như Plaxis, Sap2000, Autocad, Microsoft Office, và có khả năng học hỏi phần mềm thiết kế riêng của công ty về hố đào.

Phúc lợi:

- BHXH full lương
- Thời gian làm việc từ thứ 2 đến thứ 6 ( nghỉ thứ 7, chủ nhật)
- Có cơ hội đào tạo trong và ngoài nước

*Địa điểm làm việc: CIC Tower, 219 Trung Kính, Cầu Giấy, Hà nội",14/05/2025,Kiến Trúc/Xây Dựng > Xây Dựng,Kỹ thuật xây dựng/Cơ sở hạ tầng,Không yêu cầu,Không giới hạn,Không hiển thị,Không hiển thị,,Nhân viên,"Plaxis, SAP2000, AutoCAD, Thi công, Xây Dựng",Bất kỳ,Không hiển thị,Không hiển thị,Không hiển thị,,Toàn thời gian,"Kiến Trúc/Xây Dựng, Xây Dựng, Kỹ thuật xây dựng/Cơ sở hạ tầng, Plaxis, SAP2000, AutoCAD, Thi công, Xây Dựng, CÔNG TY TNHH Horizon Construction Development OVERSEAS (Việt Nam), Hà Nội"
Chuyên Viên Tuyển Dụng & Đào Tạo,CÔNG TY TNHH Thanh An,Thương lượng,"Toà nhà Plaschem, 562 Nguyễn Văn Cừ, Gia Thụy, Long Biên, Hà Nội, Tòa nhà Plaschem, số 562 đường Nguyễn Văn Cừ, Quận Long Biên, Hà Nội","- Tốt nghiệp Đại học trở lên
- Có kinh nghiệm tối thiểu 2 năm ở vị trí tương đương
- Ưu tiên có kinh nghiệm ở ngành FMCG
- Kỹ năng về giao tiếp tốt
- Sử dụng thành thạo các ứng dụng tin học để phục vụ công việc.

*** Quyền lợi:
- Lương thỏa thuận theo năng lực và kinh nghiệm
- Thưởng Lễ Tết và các chế độ ưu đãi khi sử dụng SP Công ty
- Có lộ trình phát triển nghề nghiệp rõ ràng và được tạo điều kiện thăng tiến lên vị trí cao hơn.
- Chế độ đào tạo nâng cao kỹ năng nghiệp vụ
- Các chính sách khác theo quy định của Luật và Công ty.

Địa điểm làm việc: tòa nhà Plaschem, số 562 đường Nguyễn Văn Cừ, Quận Long Biên, Hà Nội
Thời gian làm việc: Thứ 2 - Thứ 6 (nghỉ thứ 7, chủ nhật)",14/05/2025,Nhân Sự/Tuyển Dụng > Tuyển Dụng,Sản xuất,2,Cử nhân,Không hiển thị,Không hiển thị,,Nhân viên,"Tuyển Dụng, Đào Tạo, Sàng Lọc Hồ Sơ, Phỏng Vấn, Tiếng Anh",Bất kỳ,Không hiển thị,Không hiển thị,Không hiển thị,,Toàn thời gian,"Nhân Sự/Tuyển Dụng, Tuyển Dụng, Sản xuất, Tuyển Dụng, Đào Tạo, Sàng Lọc Hồ Sơ, Phỏng Vấn, Tiếng Anh, CÔNG TY TNHH Thanh An, Hà Nội"
Automation Maintenance Staff/ Nhân Viên Bảo Trì Tự Động Hóa (Nhà Máy Huế: Lô B8- KCN Phú Bài - Huế),Carlsberg Vietnam,Thương lượng,"Nhà Máy Huế: Lô B8- KCN Phú Bài - Huế, 15th floor, Sonatus Building, 15 Le Thanh Ton, Ben Nghe, District 1, HCMC","* Personal qualifications / competencies:
- Automation engineering, Siemens PLC Programmable S7/300, 400, WinCC flexible, HMI, Server network.
Kỹ sư tự động hóa, có thể lập trình PLC Siemens S7/300,400, WinCC flexible, lập trình giao diện và thiết lập mạng máy chủ.

* Educational / minimum requirements:
- Education and Experience: Bachelors/ 2 years experience on automation or higher.
Trình độ Đại học hoặc cao hơn, tối thiểu 2 năm kinh nghiệm trong lĩnh vực tự động hóa.
- Language skills: Technical English, Level B or higher.
Tiếng Anh chuyên ngành kỹ thuật, chứng chỉ B hoặc cao hơn.

* Stakeholders & Relations (Internal & External)
- Receive and feedback information to the department in the brewery and technical service of 3rd parties.
Nhận và phản hồi thông tin đến các bộ phận trong nhà máy và các dịch vụ kỹ thuật bên ngoài.",14/05/2025,Kỹ Thuật > Bảo trì/Bảo Dưỡng,Hàng tiêu dùng,2,Cử nhân,Không hiển thị,Không hiển thị,,Nhân viên,"Maintenance Management, PLC Siemens, English, Machine Maintenance, Technical",Bất kỳ,Không hiển thị,Không hiển thị,Không hiển thị,,Toàn thời gian,"Kỹ Thuật, Bảo trì/Bảo Dưỡng, Hàng tiêu dùng, Maintenance Management, PLC Siemens, English, Machine Maintenance, Technical, Carlsberg Vietnam, Thừa Thiên Huế"
